Item	Word/Nonword
n_baf	nonword
n_baich	nonword
n_bap	nonword
n_bawf	nonword
n_beal	nonword
n_beeve	nonword
n_bej	nonword
n_bem	nonword
n_bess	nonword
n_bice	nonword
n_bis	nonword
n_boke	nonword
n_bome	nonword
n_bool	nonword
n_bup	nonword
n_cabe	nonword
n_chall	nonword
n_chab	nonword
n_chake	nonword
n_cheel	nonword
n_cheen	nonword
n_cheeth	nonword
n_chell	nonword
n_chies	nonword
n_chipe	nonword
n_chis	nonword
n_chol	nonword
n_chome	nonword
n_chone	nonword
n_chope	nonword
n_chot	nonword
n_chune	nonword
n_chuth	nonword
n_chyer	nonword
n_coas	nonword
n_coss	nonword
n_cowf	nonword
n_dabe	nonword
n_dahr	nonword
n_dak	nonword
n_datch	nonword
n_deach	nonword
n_deef	nonword
n_deek	nonword
n_deet	nonword
n_dess	nonword
n_detch	nonword
n_dit	nonword
n_dizz	nonword
n_dobe	nonword
n_dodd	nonword
n_doeg	nonword
n_doke	nonword
n_doof	nonword
n_duj	nonword
n_fak	nonword
n_fal	nonword
n_fatch	nonword
n_fath	nonword
n_fawed	nonword
n_faws	nonword
n_faych	nonword
n_feg	nonword
n_fen	nonword
n_fet	nonword
n_fid	nonword
n_fide	nonword
n_fik	nonword
n_fiss	nonword
n_fode	nonword
n_foes	nonword
n_foin	nonword
n_foize	nonword
n_foof	nonword
n_foon	nonword
n_fouze	nonword
n_fus	nonword
n_fub	nonword
n_fuhl	nonword
n_fum	nonword
n_fup	nonword
n_fut	nonword
n_futh	nonword
n_gad	nonword
n_gade	nonword
n_gam	nonword
n_gan	nonword
n_gath	nonword
n_gawm	nonword
n_geck	nonword
n_ged	nonword
n_geed	nonword
n_gen	nonword
n_gep	nonword
n_gern	nonword
n_gert	nonword
n_gev	nonword
n_gine	nonword
n_ging	nonword
n_goot	nonword
n_goov	nonword
n_gowd	nonword
n_hab	nonword
n_hame	nonword
n_han	nonword
n_heeg	nonword
n_heem	nonword
n_hej	nonword
n_herch	nonword
n_hess	nonword
n_hez	nonword
n_hib	nonword
n_hin	nonword
n_hish	nonword
n_hoss	nonword
n_hoon	nonword
n_hout	nonword
n_hud	nonword
n_hup	nonword
n_huv	nonword
n_huz	nonword
n_jad	nonword
n_jame	nonword
n_jare	nonword
n_jave	nonword
n_jeck	nonword
n_jeeg	nonword
n_jeek	nonword
n_jeet	nonword
n_jerz	nonword
n_jez	nonword
n_jide	nonword
n_jile	nonword
n_jir	nonword
n_jiss	nonword
n_jite	nonword
n_joig	nonword
n_joit	nonword
n_jole	nonword
n_jope	nonword
n_joss	nonword
n_jud	nonword
n_jum	nonword
n_kade	nonword
n_kaysh	nonword
n_ked	nonword
n_keek	nonword
n_keem	nonword
n_keet	nonword
n_kell	nonword
